Latitude	Longitude	Collisions	Street 1	Street 2
34.0124	-118.3351	53	MARTIN LUTHER KING JR BL	CRENSHAW BL
34.1017	-118.3224	66	HOLLYWOOD BL	GOWER ST
34.2012	-118.4924	79	SHERMAN WY	HAYVENHURST AV
34.1939	-118.4487	91	VAN NUYS BL	VANOWEN ST
34.0526	-118.2916	107	VERMONT AV	OLYMPIC BL
34.2214	-118.4749	107	ROSCOE BL	HASKELL AV
34.1405	-118.3702	56	VENTURA BL	VINELAND AV
34.218	-118.4488	58	VAN NUYS BL	LANARK ST
33.931	-118.287	51	IMPERIAL HY	HOOVER ST
34.1867	-118.4487	93	VICTORY BL	VAN NUYS BL
34.1548	-118.4662	91	SEPULVEDA BL	VENTURA BL
34.272	-118.5022	72	BALBOA BL	SAN FERNANDO MISSION BL
34.1867	-118.4312	100	VICTORY BL	WOODMAN AV
34.2354	-118.4502	91	VAN NUYS BL	NORDHOFF ST
34.1867	-118.4575	54	KESTER AV	VICTORY BL
34.1939	-118.4487	119	VANOWEN ST	VAN NUYS BL
34.0689	-118.3386	61	HIGHLAND AV	3RD ST
34.1793	-118.5975	70	CANOGA AV	OXNARD ST
34.1867	-118.4575	108	VICTORY BL	KESTER AV
34.0578	-118.2916	60	VERMONT AV	8TH ST
34.2285	-118.5026	77	PARTHENIA ST	BALBOA BL
34.0908	-118.3266	51	SANTA MONICA BL	VINE ST
33.9455	-118.309	60	CENTURY BL	WESTERN AV
34.0907	-118.3386	66	HIGHLAND AV	SANTA MONICA BL
34.1939	-118.4574	94	VANOWEN ST	KESTER AV
34.2355	-118.4676	127	SEPULVEDA BL	NORDHOFF ST
34.2198	-118.5975	56	CANOGA AV	ROSCOE BL
34.1866	-118.5011	76	VICTORY BL	BALBOA BL
34.2152	-118.4488	68	VAN NUYS BL	BLYTHE ST
34.2588	-118.4313	62	VAN NUYS BL	LAUREL CANYON BL
34.0763	-118.3004	56	BEVERLY BL	NORMANDIE AV
34.062	-118.3619	55	FAIRFAX AV	WILSHIRE BL
34.2284	-118.4851	64	PARTHENIA ST	WOODLEY AV
34.201	-118.6059	58	TOPANGA CANYON BL	SHERMAN WY
34.2012	-118.5273	52	LINDLEY AV	SHERMAN WY
34.0716	-118.3614	132	FAIRFAX AV	3RD ST
34.0328	-118.2915	54	VERMONT AV	ADAMS BL
34.1427	-118.4052	62	VENTURA BL	WHITSETT AV
33.9295	-118.2543	84	CENTRAL AV	IMPERIAL HY
34.2012	-118.4052	163	SHERMAN WY	WHITSETT AV
34.0617	-118.3142	59	WILSHIRE BL	WILTON PL
34.2217	-118.4053	60	ROSCOE BL	WHITSETT AV
34.0418	-118.309	62	WESTERN AV	18TH ST
34.0404	-118.377	60	LA CIENEGA BL	SAWYER ST
34.0085	-118.3351	97	CRENSHAW BL	STOCKER ST
34.0478	-118.3284	89	CRENSHAW BL	PICO BL
33.9746	-118.2918	104	FLORENCE AV	VERMONT AV
34.1794	-118.4052	56	OXNARD ST	WHITSETT AV
34.1729	-118.536	91	RESEDA BL	BURBANK BL
34.1733	-118.5974	56	CANOGA AV	BURBANK BL
34.1829	-118.6059	72	TOPANGA CANYON BL	ERWIN ST
34.2178	-118.4663	53	SEPULVEDA BL	LANARK ST
34.2469	-118.4195	62	OSBORNE ST	LAUREL CANYON BL
34.1867	-118.4487	70	VAN NUYS BL	VICTORY BL
34.2085	-118.4662	73	SEPULVEDA BL	SATICOY ST
33.943	-118.402	99	WORLD WY	WEST WY
34.2084	-118.571	80	SATICOY ST	WINNETKA AV
33.7907	-118.2828	68	PACIFIC COAST HY	FIGUEROA PL
34.1867	-118.4662	102	SEPULVEDA BL	VICTORY BL
34.2217	-118.4328	84	ROSCOE BL	WOODMAN AV
34.2215	-118.4553	77	ROSCOE BL	WILLIS AV
34.0037	-118.3089	74	WESTERN AV	VERNON AV
34.0359	-118.3495	85	LA BREA AV	23RD ST
34.098	-118.3445	73	LA BREA AV	SUNSET BL
34.2207	-118.5361	97	RESEDA BL	ROSCOE BL
33.9455	-118.3995	54	WORLD WY	SKY WY
34.2358	-118.5025	90	NORDHOFF ST	BALBOA BL
34.1078	-118.2376	54	EAGLE ROCK BL	VERDUGO RD
34.069	-118.3091	67	WESTERN AV	3RD ST
34.0527	-118.3091	56	WESTERN AV	OLYMPIC BL
34.2247	-118.4677	54	SEPULVEDA BL	CHASE ST
34.2207	-118.5361	100	ROSCOE BL	RESEDA BL
33.9746	-118.3177	59	FLORENCE AV	VAN NESS AV
